,m,Order independent,Order dependent,1=plausible; 0=unlikely
60,"('pin', 'track', 'missing', 'tooth', 'roller')",1,0,
61,"('hyd', 'leak', 'engine', 'block')",1,1,
62,"('lube', 'oil', 'pto', 'pump', 'leak')",0,0,what is pto
63,"('cylinder', 'seal', 'shd', 'warranty', 'leak')",0,0,what is shd
64,"('bolts', 'cylinder', 'pin', 'text', 'stick')",0,0,text is not a recognised word in this context
65,"('bolts', 'engine', 'fan', 'left', 'pump')",1,0,
66,"('drive', 'final', 'oil', 'leak', 'stick')",0,0,stick is bothering me
67,"('coolant', 'leak', 'seal', 'stick')",0,0,stick is bothering me
68,"('lube', 'pump', 'shd', 'missing', 'replace')",0,0,what is shd
69,"('jump', 'missing', 'tooth', 'track', 'stick')",0,0,stick is bothering me
70,"('filter', 'oil', 'engine', 'shd')",0,0,stick is bothering me
71,"('bucket', 'grease', 'line', 'lube', 'shd')",0,0,stick is bothering me
72,"('control', 'hose', 'ring', 'valve', 'blown')",0,0,control not a good fit
73,"('box', 'lube', 'pressure', 'pump', 'low')",1,1,not sure what box is though
74,"('filter', 'hose', 'hyd', 'blown', 'ring')",1,1,
75,"('engine', 'oil', 'fan', 'motor')",1,1,
76,"('light', 'brake', 'leak', 'cylinder')",1,0,
77,"('bucket', 'lube', 'tank', 'block')",0,0,
78,"('exhaust', 'turbo', 'cracked', 'pipe')",1,1,
79,"('hand', 'right', 'slew', 'leak', 'stick')",0,0,stick is bothering me
80,"('hose', 'hyd', 'pipe', 'oil', 'slew')",1,0,
81,"('boom', 'hose', 'hyd', 'ring', 'blown')",1,1,
82,"('hose', 'hyd', 'oil', 'slew', 'leak')",1,0,
83,"('hose', 'hyd', 'oil', 'leak', 'stick')",0,0,stick is bothering me
84,"('hyd', 'shd', 'switch', 'alarm', 'replace')",0,0,what is shd
85,"('engine', 'light', 'shd', 'switch', 'repair')",0,0,what is shd
86,"('bolts', 'main', 'pump', 'leak')",0,0,what is main
87,"('boom', 'grease', 'hose', 'stick', 'replace')",0,0,stick is bothering me
88,"('grease', 'oil', 'pump', 'leak', 'replace')",1,1,
89,"('oil', 'pump', 'servo', 'slew', 'leak')",1,1,
90,"('grease', 'line', 'broken', 'replace', 'stick')",0,0,stick is bothering me
91,"('boom', 'bucket', 'cracked', 'stick', 'repair')",0,0,stick is bothering me
92,"('bucket', 'grease', 'hose', 'pin', 'broken')",1,1,
93,"('brake', 'right', 'shd', 'slew', 'replace')",0,0,what is shd
94,"('roller', 'track', 'missing', 'tooth', 'leak')",0,0,leak doesn't belong
95,"('step', 'missing', 'tooth', 'cylinder')",0,0,
96,"('drive', 'pressure', 'pump', 'fault', 'low')",1,1,
97,"('fuel', 'tank', 'replace', 'stick', 'leak')",0,0,stick is bothering me
98,"('repair', 'access', 'engine', 'text')",0,0,
99,"('boom', 'cylinder', 'hand', 'right', 'changeout')",1,1,
