,m,cat
44,"('hyd', 'shd', 'switch', 'alarm', 'replace')",real
45,"('jump', 'shd', 'lube', 'tooth', 'missing')",sim
46,"('boom', 'clamp', 'text', 'leak', 'stick')",sim
47,"('hyd', 'lube', 'pump', 'travel', 'leak')",real
48,"('lube', 'pto', 'box', 'servo')",cos
49,"('brake', 'shd', 'lube', 'line', 'grease')",sim
50,"('box', 'drive', 'pressure', 'pump', 'fault')",real
51,"('boom', 'hose', 'hyd', 'light')",cos
52,"('boom', 'hose', 'hyd', 'ring', 'replace')",real
53,"('pin', 'track', 'missing', 'tooth')",sim
54,"('boom', 'line', 'lube', 'blown', 'replace')",real
55,"('boom', 'clamp', 'control', 'pipe', 'valve')",real
56,"('engine', 'fan', 'valve', 'leak', 'check')",real
57,"('grease', 'bucket', 'shd', 'coolant')",cos
58,"('oil', 'leak', 'coolant', 'hose')",cos
59,"('boom', 'hyd', 'pipe', 'cracked', 'repair')",real
60,"('engine', 'stick', 'hose', 'blown')",cos
61,"('fan', 'motor', 'seal', 'right', 'slew')",sim
62,"('boom', 'clamp', 'oil', 'pipe', 'valve')",real
63,"('lube', 'fault', 'low', 'pressure')",cos
64,"('bucket', 'cylinder', 'missing', 'boom')",cos
65,"('adaptor', 'tooth', 'missing', 'track', 'stick')",sim
66,"('access', 'step', 'repair', 'fault', 'leak')",sim
67,"('hose', 'hyd', 'shd', 'valve', 'changeout')",real
68,"('brake', 'drive', 'final', 'oil', 'leak')",real
69,"('hose', 'motor', 'slew', 'leak', 'main')",real
70,"('clamp', 'loose', 'control', 'valve')",cos
71,"('hose', 'hyd', 'oil', 'slew', 'leak')",sim
72,"('roller', 'track', 'missing', 'tooth', 'leak')",sim
73,"('bucket', 'loose', 'text', 'clamp')",cos
74,"('ring', 'blown', 'replace', 'stick', 'leak')",sim
75,"('hose', 'blown', 'shd', 'filter')",cos
76,"('bucket', 'fitting', 'grease', 'broken', 'repair')",real
77,"('cylinder', 'fuel', 'engine', 'right')",cos
78,"('motor', 'oil', 'slew', 'leak', 'repair')",real
79,"('fan', 'motor', 'seal', 'slew', 'leak')",sim
80,"('clamp', 'cylinder', 'boom', 'control')",cos
81,"('grease', 'line', 'lube', 'pto', 'pump')",sim
82,"('roller', 'track', 'bolts', 'cylinder')",cos
83,"('fan', 'motor', 'right', 'slew', 'leak')",sim
84,"('hose', 'hyd', 'oil', 'text', 'valve')",sim
85,"('grease', 'pump', 'seal', 'warranty', 'leak')",real
86,"('grease', 'line')",sim
87,"('pump', 'pto', 'lube', 'leak', 'stick')",sim
88,"('boom', 'cylinder', 'seal', 'blown', 'replace')",real
89,"('hose', 'blown', 'turbo', 'changeout')",cos
90,"('lip', 'shroud')",sim
91,"('hose', 'shd', 'slew', 'blown', 'replace')",real
92,"('fuel', 'pump', 'box', 'fan')",cos
93,"('bolts', 'main', 'pump', 'leak')",cos
94,"('hyd', 'oil', 'leak', 'stick', 'block')",real
95,"('boom', 'hose', 'hyd', 'blown', 'stick')",real
96,"('bucket', 'replace', 'lost', 'lube')",cos
97,"('hose', 'blown', 'replace', 'stick', 'leak')",sim
98,"('engine', 'light', 'shd', 'switch', 'repair')",real
99,"('coolant', 'line', 'shd', 'leak', 'changeout')",real
