,m,cls
58,"('oil', 'leak', 'coolant', 'hose')",1
59,"('boom', 'hyd', 'pipe', 'cracked', 'repair')",0
60,"('engine', 'stick', 'hose', 'blown')",0
61,"('fan', 'motor', 'seal', 'right', 'slew')",1
62,"('boom', 'clamp', 'oil', 'pipe', 'valve')",1
63,"('lube', 'fault', 'low', 'pressure')",1
64,"('bucket', 'cylinder', 'missing', 'boom')",1
65,"('adaptor', 'tooth', 'missing', 'track', 'stick')",1
66,"('access', 'step', 'repair', 'fault', 'leak')",0
67,"('hose', 'hyd', 'shd', 'valve', 'changeout')",1
68,"('brake', 'drive', 'final', 'oil', 'leak')",1
69,"('hose', 'motor', 'slew', 'leak', 'main')",0
70,"('clamp', 'loose', 'control', 'valve')",1
71,"('hose', 'hyd', 'oil', 'slew', 'leak')",1
72,"('roller', 'track', 'missing', 'tooth', 'leak')",1
73,"('bucket', 'loose', 'text', 'clamp')",0
74,"('ring', 'blown', 'replace', 'stick', 'leak')",1
75,"('hose', 'blown', 'shd', 'filter')",1
76,"('bucket', 'fitting', 'grease', 'broken', 'repair')",1
77,"('cylinder', 'fuel', 'engine', 'right')",1
78,"('motor', 'oil', 'slew', 'leak', 'repair')",1
79,"('fan', 'motor', 'seal', 'slew', 'leak')",0
80,"('clamp', 'cylinder', 'boom', 'control')",1
81,"('grease', 'line', 'lube', 'pto', 'pump')",1
82,"('roller', 'track', 'bolts', 'cylinder')",1
83,"('fan', 'motor', 'right', 'slew', 'leak')",1
84,"('hose', 'hyd', 'oil', 'text', 'valve')",1
85,"('grease', 'pump', 'seal', 'warranty', 'leak')",1
86,"('grease', 'line')",1
87,"('pump', 'pto', 'lube', 'leak', 'stick')",1
88,"('boom', 'cylinder', 'seal', 'blown', 'replace')",1
89,"('hose', 'blown', 'turbo', 'changeout')",1
90,"('lip', 'shroud')",1
91,"('hose', 'shd', 'slew', 'blown', 'replace')",1
92,"('fuel', 'pump', 'box', 'fan')",0
93,"('bolts', 'main', 'pump', 'leak')",0
94,"('hyd', 'oil', 'leak', 'stick', 'block')",1
95,"('boom', 'hose', 'hyd', 'blown', 'stick')",1
96,"('bucket', 'replace', 'lost', 'lube')",1
97,"('hose', 'blown', 'replace', 'stick', 'leak')",1
98,"('engine', 'light', 'shd', 'switch', 'repair')",1
99,"('coolant', 'line', 'shd', 'leak', 'changeout')",1
